Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig_Scheduled,Year
36,"Tuesday, May 5",BOS,A,DET,W,10,3,,15-21,5,10.0,Bello,Valdez,,2:36,N,20674,0.53,2,,2026
37,"Wednesday, May 6",BOS,A,DET,W,4,0,,16-21,4,9.0,Gray,Flaherty,,2:57,N,17334,0.67,3,,2026
38,"Thursday, May 7",BOS,H,TBR,L,4,8,,16-22,5,10.0,Bigge,Bennett,,2:48,N,33961,0.71,-1,,2026
39,"Friday, May 8",BOS,H,TBR,W,2,0,,17-22,4,9.0,Early,Scholtens,Chapman,2:30,N,35052,0.58,1,,2026
40,"Sunday, May 10",BOS,H,TBR,L,1,4,,17-23,5,9.5,Martinez,Tolle,Baker,2:42,D,33489,0.65,-1,,2026
41,"Tuesday, May 12",BOS,H,PHI,L,1,2,,17-24,5,11.0,Wheeler,Morán,Duran,2:29,N,36795,0.94,-2,,2026
42,"Wednesday, May 13",BOS,H,PHI,W,3,1,,18-24,5,10.0,Gray,Banks,Chapman,2:13,N,35451,0.5,1,,2026
43,"Thursday, May 14",BOS,H,PHI,L,1,3,,18-25,5,10.5,Keller,Samaniego,Duran,2:39,N,31046,0.41,-1,,2026
44,"Friday, May 15",BOS,A,ATL,L-wo,2,3,10,18-26,5,11.5,Fuentes,Samaniego,,2:50,N,39288,0.43,-2,,2026
45,"Saturday, May 16",BOS,A,ATL,W,3,2,,19-26,5,10.5,Tolle,Elder,Chapman,2:06,N,39336,0.51,1,,2026
