id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,player_name,to_team,from_team
906713,2026-05-07,2026-05-07,NA,CU,Recalled,Boston Red Sox recalled C Mickey Gasper from Worcester Red Sox.,Mickey Gasper,Boston Red Sox,Worcester Red Sox
906948,2026-05-08,2026-05-08,NA,CU,Recalled,Boston Red Sox recalled RHP Jack Anderson from Worcester Red Sox.,Jack Anderson,Boston Red Sox,Worcester Red Sox
906949,2026-05-08,2026-05-08,NA,OPT,Optioned,Boston Red Sox optioned LHP Jake Bennett to Worcester Red Sox.,Jake Bennett,Worcester Red Sox,Boston Red Sox
907218,2026-05-09,2026-05-09,2026-05-09,SC,Status Change,Boston Red Sox activated RHP Justin Slaten from the 15-day injured list.,Justin Slaten,Boston Red Sox,NA
907422,2026-05-09,2026-05-09,2026-05-09,SFA,Signed as Free Agent,Boston Red Sox signed free agent RHP Juan Verdus to a minor league contract.,Juan Verdus,Boston Red Sox,NA
907417,2026-05-09,2026-05-09,2026-05-09,SFA,Signed as Free Agent,Boston Red Sox signed free agent RHP Leonel Figuera to a minor league contract.,Leonel Figuera,Boston Red Sox,NA
907216,2026-05-09,2026-05-09,NA,OPT,Optioned,Boston Red Sox optioned RHP Jack Anderson to Worcester Red Sox.,Jack Anderson,Worcester Red Sox,Boston Red Sox
909328,2026-05-15,2026-05-15,2026-05-15,ASG,Assigned,Boston Red Sox sent LHP Danny Coulombe on a rehab assignment to Portland Sea Dogs.,Danny Coulombe,Portland Sea Dogs,Boston Red Sox
909537,2026-05-16,2026-05-15,2026-05-15,SC,Status Change,"Boston Red Sox placed SS Trevor Story on the 10-day injured list retroactive to May 15, 2026. Sports hernia.",Trevor Story,Boston Red Sox,NA
909536,2026-05-16,2026-05-16,NA,CU,Recalled,Boston Red Sox recalled 1B Nick Sogard from Worcester Red Sox.,Nick Sogard,Boston Red Sox,Worcester Red Sox
910299,2026-05-19,2026-05-19,2026-05-19,ASG,Assigned,Boston Red Sox sent LHP Danny Coulombe on a rehab assignment to Worcester Red Sox.,Danny Coulombe,Worcester Red Sox,Boston Red Sox
923302,2026-05-22,2026-05-22,2026-05-22,SC,Status Change,Boston Red Sox placed RHP Kutter Crawford on the 60-day injured list. Right wrist surgery.,Kutter Crawford,Boston Red Sox,NA
910918,2026-05-22,2026-05-22,NA,OPT,Optioned,Boston Red Sox optioned RHP Zack Kelly to Worcester Red Sox.,Zack Kelly,Worcester Red Sox,Boston Red Sox
910917,2026-05-22,2026-05-22,NA,SE,Selected,Boston Red Sox selected the contract of RHP Tayron Guerrero from Worcester Red Sox.,Tyron Guerrero,Boston Red Sox,Worcester Red Sox
911321,2026-05-24,2026-05-24,2026-05-24,SC,Status Change,Boston Red Sox activated LHP Danny Coulombe from the 15-day injured list.,Danny Coulombe,Boston Red Sox,NA
911320,2026-05-24,2026-05-24,NA,OPT,Optioned,Boston Red Sox optioned LHP Tyler Samaniego to Worcester Red Sox.,Tyler Samaniego,Worcester Red Sox,Boston Red Sox
912495,2026-05-28,2026-05-25,2026-05-25,SC,Status Change,"Boston Red Sox placed RHP Garrett Whitlock on the 15-day injured list retroactive to May 25, 2026. Left knee inflammation.",Garrett Whitlock,Boston Red Sox,NA
912494,2026-05-28,2026-05-28,NA,CU,Recalled,Boston Red Sox recalled LHP Tyler Samaniego from Worcester Red Sox.,Tyler Samaniego,Boston Red Sox,Worcester Red Sox
915718,2026-06-03,2026-06-03,2026-06-03,SFA,Signed as Free Agent,Boston Red Sox signed free agent LHP Victor Aracena to a minor league contract.,Victor Aracena,Boston Red Sox,NA
915500,2026-06-03,2026-05-31,2026-05-31,SC,Status Change,"Boston Red Sox placed 3B Nick Sogard on the 10-day injured list retroactive to May 31, 2026. Right oblique strain.",Nick Sogard,Boston Red Sox,NA
915499,2026-06-03,2026-06-03,NA,CU,Recalled,Boston Red Sox recalled 2B Anthony Seigler from Worcester Red Sox.,Anthony Seigler,Boston Red Sox,Worcester Red Sox
915733,2026-06-04,2026-06-04,2026-06-04,SC,Status Change,Boston Red Sox transferred SS Trevor Story from the 10-day injured list to the 60-day injured list. Sports hernia.,Trevor Story,Boston Red Sox,NA
915732,2026-06-04,2026-06-04,NA,OPT,Optioned,Boston Red Sox optioned LHP Tyler Samaniego to Worcester Red Sox.,Tyler Samaniego,Worcester Red Sox,Boston Red Sox
915957,2026-06-04,2026-06-04,NA,TR,Trade,Pittsburgh Pirates traded LHP Joe La Sorsa to Boston Red Sox.,Joe La Sorsa,Boston Red Sox,Pittsburgh Pirates
915731,2026-06-04,2026-06-04,NA,SE,Selected,Boston Red Sox selected the contract of RHP Tommy Kahnle from Worcester Red Sox.,Tommy Kahnle,Boston Red Sox,Worcester Red Sox
916070,2026-06-05,2026-06-05,2026-06-05,ASG,Assigned,Boston Red Sox sent LHP Patrick Sandoval on a rehab assignment to Worcester Red Sox.,Patrick Sandoval,Worcester Red Sox,Boston Red Sox
916093,2026-06-05,2026-06-05,2026-06-05,SC,Status Change,Boston Red Sox transferred LHP Garrett Crochet from the 15-day injured list to the 60-day injured list. Left shoulder inflammation.,Garrett Crochet,Boston Red Sox,NA
919529,2026-06-05,2026-06-05,2026-06-05,ASG,Assigned,Boston Red Sox sent LHP Patrick Sandoval on a rehab assignment to Worcester Red Sox.,Patrick Sandoval,Worcester Red Sox,Boston Red Sox
916092,2026-06-05,2026-06-05,NA,OPT,Optioned,Boston Red Sox optioned RHP Brayan Bello to Worcester Red Sox.,Brayan Bello,Worcester Red Sox,Boston Red Sox
916091,2026-06-05,2026-06-05,NA,SE,Selected,Boston Red Sox selected the contract of LHP Joe La Sorsa from Worcester Red Sox.,Joe La Sorsa,Boston Red Sox,Worcester Red Sox
916378,2026-06-06,2026-06-05,2026-06-05,SC,Status Change,"Boston Red Sox placed LHP Jovani Morán on the 15-day injured list retroactive to June 5, 2026. Left elbow inflammation.",Jovani Morán,Boston Red Sox,NA
916319,2026-06-06,2026-06-06,2026-06-06,ASG,Assigned,Boston Red Sox sent RHP Garrett Whitlock on a rehab assignment to Worcester Red Sox.,Garrett Whitlock,Worcester Red Sox,Boston Red Sox
916379,2026-06-06,2026-06-06,NA,CU,Recalled,Boston Red Sox recalled LHP Alec Gamboa from Worcester Red Sox.,Alec Gamboa,Boston Red Sox,Worcester Red Sox
916622,2026-06-08,2026-06-08,NA,OPT,Optioned,Boston Red Sox optioned LHP Joe La Sorsa to Worcester Red Sox.,Joe La Sorsa,Worcester Red Sox,Boston Red Sox
916621,2026-06-08,2026-06-08,NA,CU,Recalled,Boston Red Sox recalled OF Nate Eaton from Worcester Red Sox.,Nate Eaton,Boston Red Sox,Worcester Red Sox
917127,2026-06-08,2026-06-08,NA,ACQ,Acquired,Boston Red Sox acquired LHP Tyler Davis from the Washington Wild Things of the Frontier League.,Tyler Davis,Boston Red Sox,Washington Wild Things
916888,2026-06-09,2026-06-09,2026-06-09,SC,Status Change,Boston Red Sox activated RHP Garrett Whitlock from the 15-day injured list.,Garrett Whitlock,Boston Red Sox,NA
916887,2026-06-09,2026-06-09,NA,OPT,Optioned,Boston Red Sox optioned 2B Anthony Seigler to Worcester Red Sox.,Anthony Seigler,Worcester Red Sox,Boston Red Sox
917169,2026-06-10,2026-06-10,NA,CU,Recalled,Boston Red Sox recalled LHP Jake Bennett from Worcester Red Sox.,Jake Bennett,Boston Red Sox,Worcester Red Sox
917168,2026-06-10,2026-06-10,NA,OPT,Optioned,Boston Red Sox optioned LHP Alec Gamboa to Worcester Red Sox.,Alec Gamboa,Worcester Red Sox,Boston Red Sox
921467,2026-06-16,2026-06-16,2026-06-16,ASG,Assigned,Boston Red Sox sent 1B Romy Gonzalez on a rehab assignment to Portland Sea Dogs.,Romy Gonzalez,Portland Sea Dogs,Boston Red Sox
918973,2026-06-16,2026-06-16,2026-06-16,ASG,Assigned,Boston Red Sox sent 1B Romy Gonzalez on a rehab assignment to Portland Sea Dogs.,Romy Gonzalez,Portland Sea Dogs,Boston Red Sox
919531,2026-06-17,2026-06-17,2026-06-17,ASG,Assigned,Boston Red Sox sent LHP Patrick Sandoval on a rehab assignment to Portland Sea Dogs.,Patrick Sandoval,Portland Sea Dogs,Boston Red Sox
921465,2026-06-17,2026-06-17,2026-06-17,ASG,Assigned,Boston Red Sox sent LHP Patrick Sandoval on a rehab assignment to Portland Sea Dogs.,Patrick Sandoval,Portland Sea Dogs,Boston Red Sox
920930,2026-06-20,2026-06-20,2026-06-20,SFA,Signed as Free Agent,Boston Red Sox signed free agent RHP Pablo Serrano to a minor league contract.,Pablo Serrano,Boston Red Sox,NA
920741,2026-06-20,2026-06-19,2026-06-19,SC,Status Change,"Boston Red Sox placed 2B Isiah Kiner-Falefa on the 10-day injured list retroactive to June 19, 2026. Left forearm inflammation.",Isiah Kiner-Falefa,Boston Red Sox,NA
920740,2026-06-20,2026-06-20,NA,CU,Recalled,Boston Red Sox recalled 2B Anthony Seigler from Worcester Red Sox.,Anthony Seigler,Boston Red Sox,Worcester Red Sox
921466,2026-06-23,2026-06-23,2026-06-23,ASG,Assigned,Boston Red Sox sent LHP Patrick Sandoval on a rehab assignment to Worcester Red Sox.,Patrick Sandoval,Worcester Red Sox,Boston Red Sox
921468,2026-06-23,2026-06-23,2026-06-23,ASG,Assigned,Boston Red Sox sent 1B Romy Gonzalez on a rehab assignment to Worcester Red Sox.,Romy Gonzalez,Worcester Red Sox,Boston Red Sox
921469,2026-06-23,2026-06-23,2026-06-23,SFA,Signed as Free Agent,Boston Red Sox signed free agent C Andrew Knizner to a minor league contract.,Andrew Knizner,Boston Red Sox,NA
922222,2026-06-25,2026-06-25,2026-06-25,ASG,Assigned,Boston Red Sox sent LHP Jovani Morán on a rehab assignment to Worcester Red Sox.,Jovani Morán,Worcester Red Sox,Boston Red Sox
922954,2026-06-26,2026-06-26,2026-06-26,SC,Status Change,Boston Red Sox placed 2B Marcelo Mayer on the 10-day injured list. Bone stress reaction to the left ulna.,Marcelo Mayer,Boston Red Sox,NA
922953,2026-06-26,2026-06-26,NA,CU,Recalled,Boston Red Sox recalled SS Tsung-Che Cheng from Worcester Red Sox.,Tsung-Che Cheng,Boston Red Sox,Worcester Red Sox
923280,2026-06-28,2026-06-28,2026-06-28,SC,Status Change,Boston Red Sox transferred LF Roman Anthony from the 10-day injured list to the 60-day injured list.,Roman Anthony,Boston Red Sox,NA
925930,2026-06-28,2026-06-28,2026-06-28,SC,Status Change,Boston Red Sox activated DH Romy Gonzalez from the 60-day injured list.,Romy Gonzalez,Boston Red Sox,NA
923276,2026-06-28,2026-06-28,2026-06-28,SC,Status Change,Boston Red Sox activated 1B Romy Gonzalez from the 60-day injured list.,Romy Gonzalez,Boston Red Sox,NA
923278,2026-06-28,2026-06-28,NA,OPT,Optioned,Boston Red Sox optioned C Mickey Gasper to Worcester Red Sox.,Mickey Gasper,Worcester Red Sox,Boston Red Sox
923944,2026-07-01,2026-07-01,2026-07-01,SC,Status Change,Boston Red Sox activated LHP Jovani Morán from the 15-day injured list.,Jovani Morán,Boston Red Sox,NA
923945,2026-07-01,2026-07-01,2026-07-01,SC,Status Change,Boston Red Sox placed LHP Connelly Early on the 15-day injured list. Left elbow inflammation.,Connelly Early,Boston Red Sox,NA
923937,2026-07-01,2026-07-01,2026-07-01,DES,Designated for Assignment,Boston Red Sox designated RHP Tommy Kahnle for assignment.,Tommy Kahnle,Boston Red Sox,NA
923934,2026-07-01,2026-07-01,NA,TR,Trade,Athletics traded 3B Brett Harris to Boston Red Sox for RHP Ben Hansen.,Brett Harris,Boston Red Sox,Athletics
923943,2026-07-01,2026-07-01,NA,CU,Recalled,Boston Red Sox recalled LHP Alec Gamboa from Worcester Red Sox.,Alec Gamboa,Boston Red Sox,Worcester Red Sox
923934,2026-07-01,2026-07-01,NA,TR,Trade,Athletics traded 3B Brett Harris to Boston Red Sox for RHP Ben Hansen.,Ben Hansen,Athletics,Boston Red Sox
